시간대별시간,주문요일명,광역시도명,시군구명,업종명,주문요일(전처리),시간대(강서구),주문요일(강서구),주문요일전처리(강서구),시간대(송파구),주문요일(송파구),주문요일전처리(송파구)
17,금요일,서울특별시,강서구,카페/디저트,평일,22,일요일,주말,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,22,일요일,주말,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,11,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,11,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,12,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,12,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,13,월요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,13,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,13,월요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,13,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,13,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,13,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,14,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,14,월요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,15,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,15,월요일,평일,,,평일
17,금요일,서울특별시,은평구,카페/디저트,평일,15,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,15,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,15,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,15,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,15,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,16,월요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,16,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,16,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,16,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,16,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,16,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,16,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,17,월요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,17,월요일,평일,,,평일
17,금요일,서울특별시,은평구,카페/디저트,평일,17,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,17,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,18,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,19,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,20,월요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,21,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,21,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,21,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,21,월요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,21,월요일,평일,,,평일
17,금요일,서울특별시,도봉구,카페/디저트,평일,22,월요일,평일,,,평일
17,금요일,서울특별시,도봉구,카페/디저트,평일,22,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,23,월요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,11,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,11,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,11,화요일,평일,,,평일
17,금요일,서울특별시,도봉구,카페/디저트,평일,12,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,12,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,13,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,13,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,15,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,15,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,15,화요일,평일,,,평일
17,금요일,서울특별시,도봉구,카페/디저트,평일,16,화요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,17,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,17,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,17,화요일,평일,,,평일
17,금요일,서울특별시,은평구,카페/디저트,평일,18,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,18,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,18,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,18,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,19,화요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,19,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,19,화요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,19,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,19,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,19,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,은평구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,20,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,강북구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,21,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,22,화요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,22,화요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,22,화요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,22,화요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,23,화요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,23,화요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,23,화요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,10,수요일,평일,,,평일
17,금요일,서울특별시,은평구,카페/디저트,평일,11,수요일,평일,,,평일
17,금요일,서울특별시,강북구,카페/디저트,평일,11,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,12,수요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,12,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,12,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,13,수요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,13,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,13,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,13,수요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,14,수요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,14,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,14,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,14,수요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,15,수요일,평일,,,평일
17,금요일,서울특별시,노원구,카페/디저트,평일,15,수요일,평일,,,평일
17,금요일,서울특별시,양천구,카페/디저트,평일,16,수요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,15,수요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,16,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,16,수요일,평일,,,평일
17,금요일,서울특별시,강서구,카페/디저트,평일,16,수요일,평일,,,평일
17,금요일,서울특별시,구로구,카페/디저트,평일,16,수요일,평일,,,평일
17,금요일,서울특별시,성북구,카페/디저트,평일,16,수요일,평일,,,평일
